AGE,EDCL,MARRIED,KIDS,OCCAT,INCOME,RISK,NETWORTH,TrueRiskTol,RiskCluster
52,1,1,0,3,51118.862654,1,674691.86806,6.680192992962248,0
66,0,1,1,1,50053.886349,1,88647.15872,1.2601217353282188,0
34,3,1,1,3,127797.15664,2,257242.45591,41.64161804821414,1
39,2,1,2,2,106497.63053,1,437022.20771,39.0798807058232,1
73,3,1,0,1,1052196.5896,1,16950662.312,0.4642783774591233,0
67,0,1,0,1,9478.2891171,0,66071.12998,1.0322993128988918,0
66,2,1,0,2,74548.341371,1,2378457.1195,0.9178317974022429,0
50,2,1,0,2,4856291.9521,2,28582495.101,26.48458452626356,2
65,3,1,0,1,46858.957433,0,947571.84847,1.1533742063085584,0
68,3,1,0,1,91587.962255,1,1902496.4402,0.7596646107292562,0
63,3,1,2,3,187435.82973,2,8316884.7159,0.7546743777727246,0
37,3,1,1,3,127797.15664,1,516245.42782,23.568059999735752,2
54,2,1,1,3,123537.25141,1,558228.5565,6.022071509288419,0
40,3,1,0,3,79873.222897,0,177708.5565,42.47208729267037,1
65,3,1,0,1,107562.60683,1,1998289.2227,0.983011807039719,0
54,3,1,0,2,5324881.5265,2,33876988.08,9.431203927433184,0
58,3,1,1,2,54239243.229,3,885762202.81,1.504808342391506,0
55,3,1,1,2,1037286.9214,1,4172630.0457,4.417109965439283,0
73,1,1,0,1,50053.886349,0,318549.83671,0.7008750000001738,0
75,3,0,0,1,12460222.772,1,193422093.86,0.4528707410531782,0
75,3,1,0,1,93717.914866,0,1161940.5617,0.6461120248544376,0
59,3,1,0,3,135251.99077,1,3237278.2495,1.4530996842951214,0
50,3,1,1,3,70288.436149,2,108748.10908,14.120452157915976,2
31,2,0,1,3,86369.578359,3,257656.69497,24.879445994228792,2
49,1,1,1,3,121407.2988,1,1990418.6806,4.4517000440052,0
45,3,0,0,2,110757.53575,1,787054.21293,3.960206232253164,0
33,3,1,0,3,95847.867476,3,240776.4533,42.49343154249753,1
52,3,1,0,3,88393.033339,2,287896.14631,5.13288228909162,0
82,3,1,0,1,328012.70203,1,10174746.897,0.4918485077856198,0
50,1,1,0,3,76678.293981,0,263238.5663,19.613851620589976,2
55,1,1,0,3,106497.63053,1,392595.06858,4.677912321015842,0
52,3,1,2,3,165071.32732,2,233837.94905,10.262165862785269,0
69,3,1,0,2,3344025.5986,1,12915973.873,0.7276231561388125,0
47,3,1,2,3,136316.96708,3,982782.16852,7.517424623102237,0
43,1,1,2,2,26624.407632,0,105351.34879,14.923955893688968,2
74,3,1,0,3,4536799.0606,2,79395129.327,0.4655026363636343,0
48,1,1,2,3,59638.673096,0,21074.412149,35.80419330651365,1
33,3,1,0,3,95847.867476,3,239740.85565,42.74563162243999,1
66,2,0,0,3,39404.123296,1,265423.67734,0.8003914955472318,0
41,3,1,0,3,83068.151813,2,95823.850425,30.67867775531229,2
60,2,0,0,3,62833.602012,0,306640.46375,2.39109246891722,0
63,3,1,0,1,99468.786914,1,655015.51274,2.26384419377215,0
36,1,1,2,3,149096.68274,0,171494.97061,27.18971701777867,2
78,1,0,0,1,42599.052212,1,791196.60353,0.46025,0
42,1,1,2,3,112887.48836,1,152439.97387,29.644278933484365,2
56,3,0,0,1,95847.867476,1,5071114.5656,0.8025926407224754,0
66,1,1,0,1,37274.170685,0,581384.51992,1.130108678264943,0
66,1,0,0,1,20234.549801,0,275468.97453,0.720830287729505,0
54,1,1,0,1,54313.79157,0,53022.599608,20.348663372164182,2
59,3,1,0,1,168266.25624,2,1333539.0921,2.495762447412012,0
56,3,1,2,2,447290.04822,2,938147.90986,17.089608913807048,2
50,1,0,0,3,30884.312854,0,102213.48792,8.05311467080061,0
54,3,1,0,3,59638.673096,0,123961.03854,13.009552662646916,2
48,2,1,1,3,97977.820087,1,202977.13912,16.781450725248078,2
63,1,1,0,1,38339.146991,1,91443.272371,2.4401139568090384,0
36,1,1,1,3,28754.360243,0,4660.1894187,23.9164770044687,2
62,3,1,0,2,1139524.6467,1,106694415.38,1.555486554981366,0
63,3,0,0,3,61768.625707,0,67417.406924,4.626320664998069,0
57,2,0,0,3,55378.767875,0,358316.78641,3.059197158134214,0
47,2,1,0,3,50053.886349,1,534824.04964,3.806298054733333,0
40,3,0,2,3,85198.104423,2,147883.34422,22.52851415790142,2
47,1,1,1,3,79873.222897,2,168905.97649,13.001942543845148,2
68,1,1,1,3,117147.39358,0,93514.467668,1.0993749786513534,0
57,1,1,1,0,99042.796392,1,380633.91574,4.284056375652604,0
29,1,1,3,3,18104.59719,1,38420.672763,67.79383722311124,3
51,1,1,1,2,335467.53617,0,1357461.3978,16.19187882190793,2
64,3,0,0,1,8945.8009645,2,910497.45265,0.9982425010712096,0
60,3,1,0,2,1405768.723,0,8580910.3364,20.82374323907293,2
45,2,1,2,3,127797.15664,2,195210.15676,26.573970541830093,2
56,0,0,1,3,23429.478716,0,179054.83344,2.657486701215665,0
50,3,1,3,3,263049.14741,2,687843.9582,15.817658558886658,2
42,3,1,0,2,124602.22772,1,300426.87786,18.24284353711372,2
51,1,1,1,2,323752.79681,0,1354354.6048,13.74610191772977,2
66,3,1,0,2,292868.48396,2,12299793.272,0.8330703831360471,0
54,1,0,0,1,63898.578318,0,630368.2887,2.217111467609569,0
73,3,1,0,1,2247100.0042,2,35513750.163,0.4841002991768824,0
43,3,1,0,3,101172.749,2,459494.67668,19.919970571101263,2
61,3,1,1,1,121407.2988,1,1694548.4324,1.4425936627096942,0
78,2,1,0,2,377108.1097,1,11507561.071,0.5335011709596176,0
58,1,1,0,2,79873.222897,2,178019.23579,5.625597080366182,0
41,0,0,0,2,31949.289159,0,131003.10255,13.01091291765118,2
67,3,1,0,1,369546.77794,1,2156321.4239,1.5588228033540918,0
37,3,1,1,3,127797.15664,1,494497.8772,23.568059999735752,2
49,0,1,2,3,79873.222897,1,268219.79099,12.677810357216732,2
75,3,1,0,2,21299526.106,1,204004451.99,0.4755921757416965,0
44,3,1,1,3,179980.99559,3,410925.14696,19.960379361432985,2
64,3,1,0,2,1437718.0121,2,12376945.297,3.153224641121443,0
73,3,1,0,1,1053261.5659,1,15248139.778,0.4921632162478834,0
46,3,0,0,2,61768.625707,2,1525642.4559,6.396996290290774,0
42,2,1,0,3,106497.63053,2,95430.323318,19.678557405384147,2
58,3,1,1,3,90522.98595,1,98588.896146,5.462229091033601,0
62,3,1,0,2,130992.08555,0,1379933.8668,1.4024830302554223,0
69,3,0,0,1,151226.63535,1,2208929.7845,0.7745529009263168,0
